Iteration,AvgQValue,AvgTarget,AvgLoss,Test Reward
5000,1756.32344704507,1861.70615198443,689284.354653972,13.8
5100,1451.94328293604,1398.97454923175,318542.503985161,2.6
5200,1124.61563001516,1129.80676350144,27819.4794729753,6.4
5300,1305.77904512856,1284.92922389421,25359.2419694749,0.0
5400,1437.91608105749,1469.24735039297,21229.5739223956,0.0
5500,1440.71197033485,1404.90976906956,27141.9143565878,0.0
5600,1577.73763241125,1545.52890314133,60766.4849641657,0.0
5700,1797.50630738276,1795.25840971745,104859.776036997,0.0
5800,2049.36819301541,2053.08922005573,132393.688116287,0.0
5900,2923.5823167146,2958.94808905117,137570.229639392,1.6
6000,2843.57479839311,2823.61128339163,219251.695629072,0.0
6100,3390.56026109982,3396.44693153318,170071.65759884,0.0
6200,6856.65702088162,6781.11306037671,1135461.55751335,0.0
6300,7959.15655937461,7946.6700054528,957499.606956736,0.0
6400,9582.74671514123,9595.44461127716,2202694.81806443,0.0
6500,12590.0865386462,12511.7669371743,9461487.95527049,0.0
6600,15671.9526819064,15750.1576090923,6910696.3212587,0.0
6700,20418.5262985999,20388.2705126934,3208593.25649944,0.0
6800,26002.4933340385,27032.1164706654,19415179.7720489,0.0
6900,25139.1886632625,25082.130222444,24340404.0739079,0.0
7000,32714.3665686744,32501.1208455342,16047871.0821583,0.0
7100,32099.4771927354,32292.3369892576,9893415.49062749,0.0
7200,48320.4917208478,47880.9158584468,15091405.073845,0.0
7300,44667.6039343083,45377.5642466029,11227522.0129997,0.0
7400,48837.3758929471,48408.6193383158,24054827.5865354,0.0
7500,78102.2248873693,78636.6677869141,44192576.7341263,0.0
7600,95486.0473852523,95789.5717424455,51302741.4583173,0.0
7700,124466.474227853,125602.096357696,134759671.235905,0.0
7800,89301.8449925755,88899.1780342175,92171031.7550165,0.0
7900,107989.163689599,106511.805266034,123305611.378162,0.0
8000,121342.19904732,122667.750757396,245235550.440321,0.0
8100,125162.293901225,125000.897968764,168261922.032205,0.0
8200,134113.450254316,133730.984558319,246178369.350361,0.0
8300,161044.229767602,160263.218081032,552730737.797205,0.0
8400,167742.837567974,168125.238367488,319519510.042922,0.0
8500,183050.862605911,180591.739433634,447652903.270288,0.0
8600,250537.049498996,250288.774209106,528065252.738144,0.0
8700,265298.326643677,260633.117518333,1215938151.6264,0.0
8800,311255.445143906,309085.557268248,904665257.279023,2.2
8900,304460.951135893,302268.725396248,1041640279.65174,0.0
9000,315394.852050634,315255.169943311,1121830360.43186,0.0
9100,285690.952834776,286170.540796103,547747322.26756,0.0
9200,349253.656393869,345815.647433485,495119864.981616,0.0
9300,286843.21824235,286398.067974364,935573280.779198,0.0
9400,266491.485468917,264537.947834325,641632811.734611,0.0
9500,289374.609245223,285845.698064713,1097802886.26011,0.0
9600,251900.263028771,249106.935360773,720068482.787377,0.0
9700,172090.906995449,167673.985743556,362682880.128633,0.0
9800,180256.049024612,177656.974713131,425532297.061825,0.0
9900,204370.915407177,202736.524532006,590253224.254147,0.0
10000,143892.69007445,144571.1449181,228154043.002275,0.0
10100,127695.570569902,127992.96803851,245803007.130908,0.0
10200,86750.283920537,84764.5113019957,137150519.966527,0.0
10300,82769.7213140011,83438.2923809467,29959372.4675222,0.0
10400,60926.9619914925,60781.8694460052,15406251.9997255,0.0
10500,61824.9135913214,61632.7173139238,50171914.591225,0.0
